game_id,season,week,gameday,weekday,home_team,away_team,home_score,away_score,home_win,spread_line,total_line,div_game,roof,surface,home_roll_margin_mean_3,home_roll_margin_mean_5,home_roll_win_rate_3,home_roll_win_rate_5,home_roll_pts_for_mean_3,home_roll_pts_for_mean_5,home_roll_pts_against_mean_3,home_roll_pts_against_mean_5,home_st_d_win_rate,home_st_d_margin_mean,home_temp,home_wind,away_roll_margin_mean_3,away_roll_margin_mean_5,away_roll_win_rate_3,away_roll_win_rate_5,away_roll_pts_for_mean_3,away_roll_pts_for_mean_5,away_roll_pts_against_mean_3,away_roll_pts_against_mean_5,away_st_d_win_rate,away_st_d_margin_mean,away_temp,away_wind,league_pass_rate,league_epa_mean
2019_01_GB_CHI,2019,1,2019-09-05,Thursday,CHI,GB,3.0,10.0,0,3.5,47.0,1,outdoors,grass,,,,,,,,,,,65.0,10.0,,,,,,,,,,,65.0,10.0,0.4736657303370786,0.0276517991321551
2019_01_LA_CAR,2019,1,2019-09-08,Sunday,CAR,LA,27.0,30.0,0,-1.5,49.5,0,outdoors,grass,,,,,,,,,,,87.0,3.0,,,,,,,,,,,87.0,3.0,0.4736657303370786,0.0276517991321551
2019_01_TEN_CLE,2019,1,2019-09-08,Sunday,CLE,TEN,13.0,43.0,0,5.5,44.0,0,outdoors,grass,,,,,,,,,,,71.0,10.0,,,,,,,,,,,71.0,10.0,0.4736657303370786,0.0276517991321551
2019_01_KC_JAX,2019,1,2019-09-08,Sunday,JAX,KC,26.0,40.0,0,-3.5,49.0,0,outdoors,grass,,,,,,,,,,,91.0,6.0,,,,,,,,,,,91.0,6.0,0.4736657303370786,0.0276517991321551
2019_01_BAL_MIA,2019,1,2019-09-08,Sunday,MIA,BAL,10.0,59.0,0,-7.0,41.0,0,outdoors,grass,,,,,,,,,,,91.0,8.0,,,,,,,,,,,91.0,8.0,0.4736657303370786,0.0276517991321551
2019_01_ATL_MIN,2019,1,2019-09-08,Sunday,MIN,ATL,28.0,12.0,1,3.5,47.0,0,dome,sportturf,,,,,,,,,,,,,,,,,,,,,,,,,0.4736657303370786,0.0276517991321551
2019_01_BUF_NYJ,2019,1,2019-09-08,Sunday,NYJ,BUF,16.0,17.0,0,2.5,41.0,1,outdoors,fieldturf,,,,,,,,,,,77.0,6.0,,,,,,,,,,,77.0,6.0,0.4736657303370786,0.0276517991321551
2019_01_WAS_PHI,2019,1,2019-09-08,Sunday,PHI,WAS,32.0,27.0,1,10.5,44.0,1,outdoors,grass,,,,,,,,,,,79.0,4.0,,,,,,,,,,,79.0,4.0,0.4736657303370786,0.0276517991321551
2019_01_IND_LAC,2019,1,2019-09-08,Sunday,LAC,IND,30.0,24.0,1,6.0,44.5,0,outdoors,grass,,,,,,,,,,,77.0,10.0,,,,,,,,,,,77.0,10.0,0.4736657303370786,0.0276517991321551
2019_01_CIN_SEA,2019,1,2019-09-08,Sunday,SEA,CIN,21.0,20.0,1,9.5,44.0,0,outdoors,fieldturf,,,,,,,,,,,64.0,7.0,,,,,,,,,,,64.0,7.0,0.4736657303370786,0.0276517991321551
2019_01_DET_ARI,2019,1,2019-09-08,Sunday,ARI,DET,27.0,27.0,0,-2.5,45.5,0,closed,grass,,,,,,,,,,,,,,,,,,,,,,,,,0.4736657303370786,0.0276517991321551
2019_01_NYG_DAL,2019,1,2019-09-08,Sunday,DAL,NYG,35.0,17.0,1,7.0,44.0,1,closed,fieldturf,,,,,,,,,,,,,,,,,,,,,,,,,0.4736657303370786,0.0276517991321551
2019_01_SF_TB,2019,1,2019-09-08,Sunday,TB,SF,17.0,31.0,0,1.0,51.0,0,outdoors,grass,,,,,,,,,,,93.0,9.0,,,,,,,,,,,93.0,9.0,0.4736657303370786,0.0276517991321551
2019_01_PIT_NE,2019,1,2019-09-08,Sunday,NE,PIT,33.0,3.0,1,5.5,49.0,0,outdoors,grass,,,,,,,,,,,66.0,2.0,,,,,,,,,,,66.0,2.0,0.4736657303370786,0.0276517991321551
2019_01_HOU_NO,2019,1,2019-09-09,Monday,NO,HOU,30.0,28.0,1,6.5,52.0,0,dome,astroturf,,,,,,,,,,,,,,,,,,,,,,,,,0.4736657303370786,0.0276517991321551
2019_01_DEN_OAK,2019,1,2019-09-09,Monday,OAK,DEN,24.0,16.0,1,-3.0,42.5,1,outdoors,grass,,,,,,,,,,,68.0,15.0,,,,,,,,,,,68.0,15.0,0.4736657303370786,0.0276517991321551
2019_02_TB_CAR,2019,2,2019-09-12,Thursday,CAR,TB,14.0,20.0,0,6.5,48.0,1,outdoors,grass,-3.0,-3.0,0.0,0.0,27.0,27.0,30.0,30.0,0.0,-3.0,85.0,3.0,-14.0,-14.0,0.0,0.0,17.0,17.0,31.0,31.0,0.0,-14.0,85.0,3.0,0.4732554020545519,-0.0421018364400052
2019_02_ARI_BAL,2019,2,2019-09-15,Sunday,BAL,ARI,23.0,17.0,1,13.0,46.0,0,outdoors,grass,49.0,49.0,1.0,1.0,59.0,59.0,10.0,10.0,1.0,49.0,82.0,8.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,0.0,0.0,82.0,8.0,0.4732554020545519,-0.0421018364400052
2019_02_SF_CIN,2019,2,2019-09-15,Sunday,CIN,SF,17.0,41.0,0,1.0,46.0,0,outdoors,grass,-1.0,-1.0,0.0,0.0,20.0,20.0,21.0,21.0,0.0,-1.0,81.0,5.0,14.0,14.0,1.0,1.0,31.0,31.0,17.0,17.0,1.0,14.0,81.0,5.0,0.4732554020545519,-0.0421018364400052
2019_02_LAC_DET,2019,2,2019-09-15,Sunday,DET,LAC,13.0,10.0,1,-1.0,47.0,0,dome,fieldturf,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,0.0,0.0,,,6.0,6.0,1.0,1.0,30.0,30.0,24.0,24.0,1.0,6.0,,,0.4732554020545519,-0.0421018364400052
2019_02_MIN_GB,2019,2,2019-09-15,Sunday,GB,MIN,21.0,16.0,1,3.0,43.0,1,outdoors,grass,7.0,7.0,1.0,1.0,10.0,10.0,3.0,3.0,1.0,7.0,72.0,5.0,16.0,16.0,1.0,1.0,28.0,28.0,12.0,12.0,1.0,16.0,72.0,5.0,0.4732554020545519,-0.0421018364400052
2019_02_JAX_HOU,2019,2,2019-09-15,Sunday,HOU,JAX,13.0,12.0,1,7.5,43.0,1,closed,grass,-2.0,-2.0,0.0,0.0,28.0,28.0,30.0,30.0,0.0,-2.0,,,-14.0,-14.0,0.0,0.0,26.0,26.0,40.0,40.0,0.0,-14.0,,,0.4732554020545519,-0.0421018364400052
2019_02_NE_MIA,2019,2,2019-09-15,Sunday,MIA,NE,0.0,43.0,0,-18.0,48.5,1,outdoors,grass,-49.0,-49.0,0.0,0.0,10.0,10.0,59.0,59.0,0.0,-49.0,87.0,4.0,30.0,30.0,1.0,1.0,33.0,33.0,3.0,3.0,1.0,30.0,87.0,4.0,0.4732554020545519,-0.0421018364400052
2019_02_BUF_NYG,2019,2,2019-09-15,Sunday,NYG,BUF,14.0,28.0,0,-1.0,44.5,0,outdoors,fieldturf,-18.0,-18.0,0.0,0.0,17.0,17.0,35.0,35.0,0.0,-18.0,79.0,5.0,1.0,1.0,1.0,1.0,17.0,17.0,16.0,16.0,1.0,1.0,79.0,5.0,0.4732554020545519,-0.0421018364400052
2019_02_SEA_PIT,2019,2,2019-09-15,Sunday,PIT,SEA,26.0,28.0,0,4.0,47.0,0,outdoors,grass,-30.0,-30.0,0.0,0.0,3.0,3.0,33.0,33.0,0.0,-30.0,81.0,3.0,1.0,1.0,1.0,1.0,21.0,21.0,20.0,20.0,1.0,1.0,81.0,3.0,0.4732554020545519,-0.0421018364400052
2019_02_IND_TEN,2019,2,2019-09-15,Sunday,TEN,IND,17.0,19.0,0,3.0,43.5,1,outdoors,grass,30.0,30.0,1.0,1.0,43.0,43.0,13.0,13.0,1.0,30.0,93.0,1.0,-6.0,-6.0,0.0,0.0,24.0,24.0,30.0,30.0,0.0,-6.0,93.0,1.0,0.4732554020545519,-0.0421018364400052
2019_02_DAL_WAS,2019,2,2019-09-15,Sunday,WAS,DAL,21.0,31.0,0,-6.0,46.5,1,outdoors,grass,-5.0,-5.0,0.0,0.0,27.0,27.0,32.0,32.0,0.0,-5.0,80.0,7.0,18.0,18.0,1.0,1.0,35.0,35.0,17.0,17.0,1.0,18.0,80.0,7.0,0.4732554020545519,-0.0421018364400052
2019_02_KC_OAK,2019,2,2019-09-15,Sunday,OAK,KC,10.0,28.0,0,-7.0,53.5,1,outdoors,grass,8.0,8.0,1.0,1.0,24.0,24.0,16.0,16.0,1.0,8.0,70.0,13.0,14.0,14.0,1.0,1.0,40.0,40.0,26.0,26.0,1.0,14.0,70.0,13.0,0.4732554020545519,-0.0421018364400052
2019_02_CHI_DEN,2019,2,2019-09-15,Sunday,DEN,CHI,14.0,16.0,0,-3.0,41.0,0,outdoors,grass,-8.0,-8.0,0.0,0.0,16.0,16.0,24.0,24.0,0.0,-8.0,87.0,3.0,-7.0,-7.0,0.0,0.0,3.0,3.0,10.0,10.0,0.0,-7.0,87.0,3.0,0.4732554020545519,-0.0421018364400052
2019_02_NO_LA,2019,2,2019-09-15,Sunday,LA,NO,27.0,9.0,1,2.0,52.5,0,outdoors,grass,3.0,3.0,1.0,1.0,30.0,30.0,27.0,27.0,1.0,3.0,85.0,4.0,2.0,2.0,1.0,1.0,30.0,30.0,28.0,28.0,1.0,2.0,85.0,4.0,0.4732554020545519,-0.0421018364400052
2019_02_PHI_ATL,2019,2,2019-09-15,Sunday,ATL,PHI,24.0,20.0,1,-1.0,53.0,0,open,fieldturf,-16.0,-16.0,0.0,0.0,12.0,12.0,28.0,28.0,0.0,-16.0,,,5.0,5.0,1.0,1.0,32.0,32.0,27.0,27.0,1.0,5.0,,,0.4732554020545519,-0.0421018364400052
2019_02_CLE_NYJ,2019,2,2019-09-16,Monday,NYJ,CLE,3.0,23.0,0,-6.5,45.5,0,outdoors,fieldturf,-1.0,-1.0,0.0,0.0,16.0,16.0,17.0,17.0,0.0,-1.0,72.0,3.0,-30.0,-30.0,0.0,0.0,13.0,13.0,43.0,43.0,0.0,-30.0,72.0,3.0,0.4732554020545519,-0.0421018364400052
2019_03_TEN_JAX,2019,3,2019-09-19,Thursday,JAX,TEN,20.0,7.0,1,-1.5,38.0,1,outdoors,grass,-7.5,-7.5,0.0,0.0,19.0,19.0,26.5,26.5,0.0,-7.5,73.0,9.0,14.0,14.0,0.5,0.5,30.0,30.0,16.0,16.0,0.5,14.0,73.0,9.0,0.4731068648266101,-0.0047045384744747
2019_03_CIN_BUF,2019,3,2019-09-22,Sunday,BUF,CIN,21.0,17.0,1,5.5,43.5,0,outdoors,astroturf,7.5,7.5,1.0,1.0,22.5,22.5,15.0,15.0,1.0,7.5,83.0,13.0,-12.5,-12.5,0.0,0.0,18.5,18.5,31.0,31.0,0.0,-12.5,83.0,13.0,0.4731068648266101,-0.0047045384744747
2019_03_MIA_DAL,2019,3,2019-09-22,Sunday,DAL,MIA,31.0,6.0,1,22.0,46.5,0,closed,fieldturf,14.0,14.0,1.0,1.0,33.0,33.0,19.0,19.0,1.0,14.0,,,-46.0,-46.0,0.0,0.0,5.0,5.0,51.0,51.0,0.0,-46.0,,,0.4731068648266101,-0.0047045384744747
2019_03_DEN_GB,2019,3,2019-09-22,Sunday,GB,DEN,27.0,16.0,1,7.0,42.0,0,outdoors,grass,6.0,6.0,1.0,1.0,15.5,15.5,9.5,9.5,1.0,6.0,69.0,7.0,-5.0,-5.0,0.0,0.0,15.0,15.0,20.0,20.0,0.0,-5.0,69.0,7.0,0.4731068648266101,-0.0047045384744747
